award,option,Manifold,Kalshi,Polymarket,DraftKings_odds,Draftkings_prob,outcome
Best Picture,Oppenheimer,0.92,0.96,0.95,-5000,0.98,1
Best Picture,Killers of the Flower Moon,0.03,0.04,,4000,0.024,0
Best Picture,Poor Things,0.03,,0.02,2000,0.048,0
Best Picture,The Zone of Interest,,0.02,,2500,0.038,0
Best Animated Feature Film,Spider-Man: Across the Spider-Verse,0.68,0.7,0.71,-225,0.692,0
Best Animated Feature Film,The Boy and the Heron,0.36,0.3,0.31,135,0.426,1
Best Animated Feature Film,Elemental,0.03,,,2800,0.034,0
Best Animated Feature Film,Robot Dreams,0.015,,,3500,0.028,0
Best Animated Feature Film,Nimona,0.03,,0.02,2500,0.038,0
Best Actor,Cillian Murphy,0.86,0.93,0.9,-1200,0.923,1
Best Actor,Paul Giamatti,0.11,0.1,0.09,550,0.154,0
Best Actor,Bradley Cooper,0.015,,0.02,1600,0.059,0
Best Actress,Lily Gladstone,0.68,0.67,0.66,-250,0.714,0
Best Actress,Emma Stone,0.31,0.33,0.36,165,0.377,1
Best Actress,Sandra Huller,0.01,0.02,0.02,2500,0.038,0
Supporting Actor,Robert Downey Jr,0.9,0.97,0.94,-3500,0.972,1
Supporting Actor,Ryan Gosling,0.07,0.05,0.04,1000,0.091,0
Supporting Actor,Robert De Niro,0.03,,0.04,2500,0.038,0
Supporting Actor,Mark Ruffalo,,,0.03,2000,0.048,0
Supporting Actress,Da'Vine Joy Randolph,0.95,0.97,0.97,-3500,0.972,1
Supporting Actress,Emily Blunt,0.03,,0.02,2000,0.048,0
Supporting Actress,Danielle Brooks,0.012,,0.03,2000,0.048,0
Best Original Song,What Was I Made For,0.82,0.9,0.88,-750,0.882,1
Best Original Song,I'm Just Ken,0.17,0.13,0.11,450,0.182,0
Best Original Song,It Never Went Away,0.011,,0.02,2500,0.038,0
Best Original Song,Wahzhazhe (A Song For My People),,0.01,0.02,1400,0.067,0
Best Original Song,The Fire Inside,,,0.02,2800,0.034,0
Best Original Screenplay,Anatomy of a Fall,0.67,0.71,0.7,-250,0.714,1
Best Original Screenplay,The Holdovers,0.25,0.3,0.28,200,0.333,0
Best Original Screenplay,Past Lives,0.06,0.07,0.02,500,0.167,0
Best Adapted Screenplay,American Fiction,0.57,0.62,0.65,-250,0.714,1
Best Adapted Screenplay,Barbie,0.1,0.1,0.09,500,0.167,0
Best Adapted Screenplay,Oppenheimer,0.28,0.32,0.28,200,0.333,0
Best Adapted Screenplay,Poor Things,0.05,0.07,0.05,2500,0.038,0
Best Director,Greta Gerwig,0.03,,,,,0
Best Director,Christopher Nolan,0.94,0.98,0.96,-5000,0.98,1
Best Director,Martin Scorsese,0.019,0.03,0.03,2000,0.048,0
Best Director,Yorgos Lanthimos,,,0.03,1600,0.059,0
Best Production Design,Barbie,0.44,0.33,,140,0.417,0
Best Production Design,Poor Things,0.51,0.72,,-200,0.667,1
Best Production Design,Oppenheimer,0.018,0.02,,1400,0.067,0
Best Production Design,Killers of the Flower Moon,0.015,,,4000,0.024,0
Best Makeup and Hairstyling,Golda,0.01,,,3500,0.028,0
Best Makeup and Hairstyling,Maestro,0.52,,,-175,0.636,0
Best Makeup and Hairstyling,Oppenheimer,0.016,,,2000,0.048,0
Best Makeup and Hairstyling,Poor Things,0.44,,,125,0.444,1
Best Makeup and Hairstyling,Society of the Snow,0.013,,,1600,0.059,0
Best Costume,Barbie,0.55,0.52,0.75,-165,0.623,0
Best Costume,Poor Things,0.43,0.52,0.65,110,0.476,1
Best Costume,Killers of the Flower Moon,0.06,,0.03,2800,0.034,0
Best Costume,Oppenheimer,0.06,,,2500,0.038,0
Best Costume,Napoleon,0.06,,,2500,0.038,0
Best Sound,Oppenheimer,0.57,0.75,,-250,0.714,0
Best Sound,The Zone of Interest,0.37,0.27,,160,0.385,1
Best Sound,Maestro,0.03,,,1600,0.059,0
Best Sound,Mission Impossible,0.019,,,4000,0.024,0
Best Sound,The Creator,0.019,,,4000,0.024,0
Best Visual Effects,The Creator,0.33,0.35,,130,0.435,0
Best Visual Effects,Godzilla Minus One,0.58,0.67,,-200,0.667,1
Best Visual Effects,Guardians of the Galaxy,0.05,0.05,,1600,0.059,0
Best Visual Effects,Napoleon,0.03,0.03,,2000,0.048,0
Best Visual Effects,Mission Impossible,0.013,0.05,,5000,0.02,0